id,address,addressNumber,bikes,district,lat,lon,name,nearbyStations,slots,stationType,status,zip
199,199 - Anatole France-Av. Ejército Nacional,S/N,3,POL,19.437934,-99.197241,199 ANATOLE FRANCE-AV. EJERCITO NACIONAL,"196,202,203",20,BIKE,OPN,11510.0
200,200 - Emerson-Av. Ejército Nacional,S/N,0,POL,19.437596,-99.188785,200 EMERSON-AV. EJERCITO NACIONAL,"201,204,245",26,BIKE,OPN,11510.0
201,201 - Lope de Vega-Ejército Nacional,S/N,0,POL,19.437431,-99.187215,201 LOPE DE VEGA-EJERCITO NACIONAL ,"200,205,245",18,BIKE,OPN,11510.0
202,202 - Calderón de la Barca-Av. Homero,S/N,11,POL,19.43617,-99.198943,202 CALDERON DE LA BARCA-AV. HOMERO,"199,206,215",10,BIKE,OPN,11510.0
203,203 - Tennyson-Av. Homero,S/N,8,POL,19.435985,-99.194832,203 TENNYSON-AV. HOMERO,"196,204,210",15,BIKE,OPN,11510.0
204,204 - Temistocles-Homero,S/N,16,1,19.435882,-99.19152,204 TEMISTOCLES-HOMERO,"196,200,245",11,BIKE,OPN,11510.0
205,205 - Taine-Homero,S/N,7,POL,19.435525,-99.184713,205 TAINE-HOMERO,"201,207,217",13,BIKE,OPN,11510.0
206,206 - Moliere-Homero,S/N,0,POL,19.435798,-99.201419,206 MOLIERE-HOMERO ,"202,214,215",23,"BIKE,TPV",OPN,
207,207 - Tasso-Homero,S/N,10,POL,19.434861,-99.183322,207 TASSO-HOMERO ,"205,217,226",12,BIKE,OPN,11510.0
208,208 - Hesiodo-Lamartine,S/N,18,POL,19.434182,-99.189835,208 HESIODO-LAMARTINE ,"211,212,218",9,BIKE,OPN,11510.0
209,209 - Solón-Horacio,S/N,2,POL,19.435478,-99.206359,209 SOLON-HORACIO ,"213,214,219",21,BIKE,OPN,11510.0
210,210 Eugenio Sue-Horacio,S/N,16,POL,19.434076,-99.194091,210 EUGENIO SUE-HORACIO ,"203,204,216",11,BIKE,OPN,
211,211 - Newton-Horacio,S/N,1,POL,19.433607,-99.188528,211 NEWTON-HORACIO,"208,212,218",35,BIKE,OPN,11510.0
212,212 - Hegel-Horacio,S/N,2,POL,19.433567,-99.188096,212 HEGEL-HORACIO ,"211,218,224",34,"BIKE,TPV",OPN,11510.0
213,213 - Solón-Cicerón,S/N,0,POL,19.43432,-99.20632,213 SOLÓN-CICERÓN,"209,214,219",27,BIKE,OPN,11510.0
214,214 - Platón-Horacio,S/N,0,POL,19.434353,-99.20322,214 PLATÓN-HORACIO,"206,209,215",24,BIKE,OPN,
215,215 - Edgar Alan Poe-Horacio,S/N,0,POL,19.43384,-99.19968,215 EDGAR ALAN POE-HORACIO,"206,214,221",23,BIKE,OPN,11510.0
216,216 - Alejandro Dumas-Horacio,S/N,22,POL,19.433419,-99.195746,216 ALEJANDRO DUMAS-HORACIO ,"210,222",1,"BIKE,TPV",OPN,11510.0
217,217 - Euler-Horacio,S/N,20,POL,19.432888,-99.183605,217 EULER-AV. HORACIO ,"207,225,226",14,"BIKE,TPV",OPN,11510.0
218,218 - Hegel-Ibarbourou,S/N,3,POL,19.432451,-99.188033,218 HEGEL-IBARBOUROU ,"211,212,224",20,BIKE,OPN,11510.0
219,219 - Esopo-FC de Cuernavaca,S/N,0,POL,19.433542,-99.207808,219 ESOPO-FC DE CUERNAVACA,"213,220,227",36,BIKE,OPN,11510.0
220,220 - Plino-Presidente Masaryk,S/N,0,POL,19.432655,-99.205727,220 PLINIO-PRESIDENTE MASARYK ,"213,219,227",22,BIKE,OPN,11510.0
221,221 - Emilio Castelar-Presidente Masaryk,S/N,1,POL,19.431799,-99.201565,221 EMILIO CASTELAR-PRESIDENTE MASARYK ,"215,230,231",16,"BIKE,TPV",OPN,11510.0
222,222 - Alejandro Dumas-Presidente Masarik,S/N,0,POL,19.431417,-99.195774,E222 ALEJANDRO DUMAS-PRESIDENTE MASARYK,"233,241,247",24,ELECTRIC_BIKE,OPN,11510.0
223,223 - Newton-Presidente Masarik,S/N,15,POL,19.431242,-99.191613,223 NEWTON-PRESIDENTE MASARYK ,"222,224,231",14,"BIKE,TPV",OPN,
224,224 - Hegel-Presidente Masaryk,S/N,6,POL,19.431255,-99.188065,224 HEGEL-PRESIDENTE MASARYK,"212,218,225",15,BIKE,OPN,11510.0
225,225 - Petrarca-Presidente Masaryk,S/N,9,POL,19.431172,-99.185612,225 PETRARCA-PRESIDENTE MASARYK,"224,226,232",15,BIKE,OPN,11510.0
226,226 - Wallon-Presidente Masaryk,S/N,0,POL,19.431033,-99.18222,226 WALLON-PRESIDENTE MASARYK,"217,239,247",25,BIKE,OPN,11511.0
227,227 - Campos Elíseos-Periférico,S/N,0,1,19.431791,-99.207373,227 CAMPOS ELÍSEOS-PERIFÉRICO,"213,219,220",24,BIKE,OPN,
228,228 - Campos Elíseos-Jean de La fontaine,S/N,0,POL,19.427705,-99.19912,228 CAMPOS ELÍSEOS-JEAN DE LA FONTAINE,"230,233,235",20,"BIKE,TPV",OPN,11510.0
229,229 - Dickens-Seneca,S/N,0,POL,19.430515,-99.203331,229 DICKENS-SENECA,"221,235,236",21,BIKE,OPN,11510.0
230,230 - Edgar Alan Poe-Dickens,S/N,7,POL,19.430098,-99.200074,230 EDGAR ALAN POE-DICKENS,"221,235,236",9,BIKE,OPN,11510.0
231,231 - Newton-Aristoteles,S/N,25,POL,19.42977,-99.19349,231 NEWTON-ARISTOTELES ,"222,223,234",2,BIKE,OPN,11510.0
232,232 - Taine -  Rubén Darío,S/N,2,1,19.42894,-99.185389,232 TAINE-RUBEN DARÍO ,"224,225,226",28,BIKE,OPN,
233,233 - Julio Verne-Luis G. Urbina,S/N,9,POL,19.429314,-99.196965,233 JULIO VERNE-LUIS G. URBINA ,"222,230,231",6,"BIKE,TPV",OPN,11510.0
234,234 - Tres Picos-Arquímides,S/N,3,1,19.42783,-99.191539,234 TRES PICOS-ARQUÍMIDES ,"192,193,231",24,BIKE,OPN,
235,235 - Campos Eliseos-Moliere,S/N,0,POL,19.42933,-99.20218,235 CAMPOS ELISEOS-MOLIERE ,"229,230,236",25,BIKE,OPN,
236,236 - Campos Eliseos-Moliere,S/N,0,POL,19.42944,-99.20243,236 CAMPOS ELISEOS-MOLIERE ,"229,230,235",29,BIKE,OPN,
237,237 - Andrés Bello-Elliot,S/N,28,1,19.426744,-99.193986,237 ANDRÉS BELLO-ELLIOT ,"193,234,238",1,"BIKE,TPV",OPN,
238,238 - Andrés Bello-Elliot,S/N,20,1,19.426765,-99.193752,238 ANDRÉS BELLO-ELLIOT ,"193,234,237",9,BIKE,OPN,
239,239 - Rincon del Bosque-Ruben Dario,S/N,0,POL,19.430153,-99.181355,239 RINCON DEL BOSQUE-RUBEN DARÍO ,"226,247,250",21,BIKE,OPN,11510.0
240,204- Ejercito Nacional-F.C. de Cuernavaca,S/N,0,POL,19.43855,-99.2063,240 EJERCITO NACIONAL-F.C. DE CUERNAVACA ,"198,241",36,"BIKE,TPV",OPN,
241,241 - Ejercito Nacional-Juan Vazquez de la Mella,S/N,0,POL,19.43862,-99.20758,E241 EJERCITO NAL-JUAN VAZQUEZ DE LA MELLA ,"222,460",24,ELECTRIC_BIKE,OPN,
242,242 - Miguel de Cervantes Saavedra-Pról. Moliere,S/N,0,GRA,19.440344,-99.20105,242 MIGUEL DE CERVANTES SAAVEDRA-PROL MOLIERE ,"198,199,243",30,BIKE,OPN,11510.0
243,243 - Miguel de Cervantes Saavedra-Lago Filt,S/N,0,1,19.440839,-99.196712,243 MIGUEL DE CERVANTES SAAVEDRA-LAGO FILT ,"199,242,244",27,BIKE,OPN,11510.0
244,244 - Miguel de Cervantes Saavedra-Lago Victoria,S/N,9,GRA,19.440885,-99.193315,244 MIGUEL DE CERVANTES SAAVEDRA-LAGO VICTORIA ,"196,243,245",7,BIKE,OPN,11510.0
